403,9.180
404,8.998
405,9.260
406,8.988
407,8.557
408,8.446
409,9.009
410,8.402
411,8.991
412,9.383
413,8.661
414,8.745
415,9.145
419,8.666
420,8.864
421,9.250
416,0.0
417,0.0
422,8.911
423,8.258
424,9.338
425,8.809
426,8.634
427,8.490
428,8.582
429,8.913
430,8.365
431,9.182
432,8.503
433,8.692
434,8.429
435,8.838
436,8.677
437,8.903
438,9.035
439,10.291
440,9.019
441,9.474
442,9.315
443,9.435
444,9.630
445,8.566
446,9.169
447,9.022
448,8.481
449,8.829
450,17.253
451,8.932
452,9.230
453,9.270
454,9.125
455,8.906
456,8.433
457,8.661
458,8.659
459,9.033
460,8.611
461,9.319
462,8.915
463,9.094
464,9.407
465,9.262
466,9.197
467,9.755
468,8.490
469,9.137
470,8.884
471,9.096
472,10.543
473,9.576
474,8.803
475,8.564
476,8.720
477,8.592
478,9.033
479,9.327
480,9.784
481,9.050
482,8.973
483,8.300
484,8.952
485,8.553
486,8.431
487,8.773
488,8.937
489,8.831
490,9.306
491,9.193
492,9.052
493,9.139
494,8.638
495,8.428
496,8.771
497,8.439
498,9.084
499,8.569
500,8.933
501,9.078
502,8.278
503,8.650
504,9.177
505,9.032
506,8.914
507,10.719
508,9.065
509,8.647
510,9.376
511,9.296
512,11.152
513,8.953
514,8.759
515,8.505
516,8.510
517,9.442
518,9.150
519,8.588
520,9.078
521,9.145
522,8.707
523,8.837
524,9.637
525,8.711
526,9.196
527,8.688
528,8.863
529,8.989
530,8.494
531,8.684
532,8.083
533,8.419
534,9.251
535,8.673
536,8.680
537,8.795
538,8.930
539,9.489
540,9.312
541,9.118
542,8.845
543,8.756
544,8.657
545,8.726
546,8.454
547,9.035
548,8.667
549,9.446
550,9.117
551,9.161
552,8.882
553,8.419
554,9.008
555,8.828
556,8.831
557,14.272
558,9.058
559,9.134
560,9.052
561,9.210
562,8.887
563,8.959
564,8.403
565,8.603
566,8.708
567,8.969
568,8.844
569,8.886
570,8.887
571,8.741
572,8.658
573,8.763
574,9.670
575,9.014
576,8.861
577,9.071
578,8.354
579,9.896
580,8.446
581,8.723
582,8.679
583,8.603
584,8.838
585,8.859
586,8.846
587,8.694
588,8.516
589,8.921
590,9.972
591,8.956
592,12.481
593,8.271
594,8.292
595,9.891
596,9.029
597,8.249
598,8.856
599,8.509
600,8.830
601,8.709
602,8.902
603,8.588
604,8.886
605,8.390
606,8.930
607,8.406
608,8.580
609,9.815
610,8.556
611,9.547
612,8.664
613,8.551
614,8.801
615,8.574
616,8.521
617,8.741
618,9.230
619,8.619
620,8.597
621,8.989
622,8.659
623,8.336
624,9.480
625,8.639
626,9.022
627,8.588
628,8.532
629,8.817
630,9.213
631,9.424
632,8.874
633,9.129
634,8.871
635,8.403
636,8.902
637,8.544
638,8.540
639,9.183
640,9.159
641,8.704
642,8.752
643,9.167
644,8.892
645,8.869
646,9.087
647,9.200
648,8.889
649,8.375
650,8.919
651,8.765
652,9.142
653,9.215
654,8.641
655,8.611
656,9.052
657,11.834
658,8.636
659,8.952
660,8.795
661,8.856
662,8.637
663,9.102
664,8.868
665,8.544
666,8.948
667,8.373
668,8.871
669,8.668
670,9.065
671,9.261
672,9.262
673,9.046
674,9.151
675,8.785
676,8.622
677,9.036
678,8.862
679,8.635
680,8.701
681,8.810
682,13.082
683,8.720
684,9.094
685,8.961
686,8.561
687,8.614
688,8.953
689,9.090
690,9.204
691,8.929
692,9.013
693,9.534
694,9.480
695,9.482
696,8.817
697,8.889
698,9.117
699,9.260
700,9.004
701,9.022
702,9.013
703,9.449
704,9.119
705,8.714
706,8.965
707,8.816
708,8.818
709,9.185
710,9.844
711,9.477
712,9.090
713,9.090
714,9.058
715,8.631
716,9.317
717,9.533
718,8.837
719,10.305
720,9.066
721,8.416
722,8.896
723,8.399
724,8.680
725,8.651
726,9.117
727,8.570
728,8.962
729,8.910
730,9.312
731,8.818
732,9.041
733,8.895
734,10.171
735,9.072
736,8.561
737,9.049
738,8.297
739,8.517
740,8.749
741,8.696
742,8.607
743,9.092
744,8.347
745,9.073
746,8.949
747,9.214
748,11.240
749,8.891
750,8.495
751,8.747
752,8.606
753,9.642
754,8.486
755,8.984
756,8.896
757,9.361
758,8.863
759,8.714
760,9.083
761,8.665
762,8.656
763,8.745
764,8.817
765,8.867
766,8.773
767,9.103
768,9.149
769,9.038
770,10.040
771,8.979
772,8.684
773,8.473
774,9.222
775,9.123
776,9.172
777,8.891
778,8.948
779,9.126
780,9.253
781,9.214
782,8.855
783,8.642
784,8.725
785,8.677
786,9.074
787,10.581
788,8.886
789,9.178
790,9.423
791,8.588
792,9.004
793,9.355
794,8.818
795,9.202
796,8.861
797,8.154
798,8.478
799,8.563
800,9.030
801,8.956
802,9.171
803,8.906
804,9.076
805,9.531
806,9.182
807,9.471
808,8.650
809,9.457
810,8.994
811,8.347
812,8.743
813,8.982
814,9.199
815,8.900
816,8.538
817,8.830
818,8.650
819,9.597
820,9.067
821,9.898
822,9.085
823,9.007
824,9.141
825,9.194
826,8.757
827,9.166
828,8.806
829,8.723
830,9.111
831,8.666
832,8.892
833,8.642
834,9.470
835,8.954
836,8.655
837,9.265
838,9.741
839,9.124
840,8.605
841,9.167
842,8.788
843,9.122
844,8.860
845,9.712
846,8.661
847,8.665
848,8.540
849,8.321
850,8.900
851,8.689
852,8.565
853,10.229
854,9.067
855,9.010
856,8.529
857,9.232
858,9.078
859,9.034
860,8.845
861,9.186
862,9.002
863,9.275
864,8.372
865,8.607
866,8.704
867,8.586
868,9.062
869,8.847
870,8.558
871,9.025
872,8.608
873,8.542
874,9.076
875,9.200
876,9.527
877,8.710
878,8.948
879,8.673
880,8.600
881,8.942
882,9.647
883,9.840
884,8.821
885,8.873
886,9.189
887,8.693
888,8.701
889,9.268
890,8.579
891,8.875
892,9.281
893,8.819
894,9.086
895,8.962
896,8.554
897,9.535
898,8.784
899,8.593
900,8.573
901,8.342
902,9.022
903,8.930
904,8.476
905,8.549
906,8.842
907,9.086
908,8.986
909,9.022
910,8.746
911,9.030
912,8.568
913,8.771
914,8.635
915,8.560
916,8.816
917,9.080
918,8.770
919,9.008
920,8.635
921,8.557
922,8.908
923,8.882
924,8.461
925,8.658
926,9.970
927,8.812
928,8.512
929,9.280
930,8.141
931,8.619
932,8.832
933,9.301
934,9.123
935,9.088
936,9.059
937,8.908
938,8.936
939,8.547
940,8.809
941,8.794
942,8.965
943,9.134
944,8.933
945,9.994
946,8.870
947,8.256
948,8.661
949,9.106
950,8.676
951,8.615
952,9.277
953,8.520
954,9.012
955,9.837
956,8.786
957,8.665
958,9.249
959,8.850
960,8.549
961,8.371
962,9.088
963,8.607
964,8.602
965,13.816
966,9.299
967,8.525
968,8.633
969,8.332
970,8.359
971,8.903
972,8.735
973,8.208
974,9.083
975,8.528
976,8.584
977,9.022
978,9.115
979,8.633
980,42.979
981,8.577
982,8.571
983,8.303
984,8.941
985,9.340
986,8.820
987,8.725
988,8.356
989,8.641
990,9.133
991,8.529
992,8.612
993,8.640
994,8.701
995,8.507
996,8.890
997,8.850
998,8.657
999,8.891
1000,9.052
1001,8.882
1002,8.379
1003,8.989
1004,8.464
1005,8.537
1006,8.756
1007,8.667
1008,8.367
1009,8.929
1010,46.281
1011,8.588
1012,9.051
1013,8.623
1014,8.687
1015,9.089
1016,8.890
1017,8.539
1018,8.761
1019,9.113
1020,8.555
1021,8.832
1022,9.765
1023,8.562
1024,8.360
1025,8.745
1026,9.008
1027,8.990
1028,8.749
1029,8.871
1030,8.473
1031,8.781
1032,8.594
1033,8.310
1034,8.686
1035,8.640
1036,8.225
1037,8.444
1038,9.556
1039,8.834
1040,8.812
1041,8.764
1042,8.945
1043,8.866
1044,8.750
1045,9.100
1046,10.134
1047,9.110
1048,8.506
1049,8.569
1050,9.447
1051,8.739
1052,8.490
1053,9.493
1054,9.184
1055,8.863
1056,8.446
1057,8.858
1058,9.255
1059,9.347
1060,8.369
1061,8.624
1062,8.701
1063,8.553
1064,8.359
1065,8.429
1066,9.209
1067,9.010
1068,8.693
1069,8.756
1070,8.976
1071,8.748
1072,9.092
1073,8.727
1074,9.153
1075,8.613
1076,8.610
1077,10.724
1078,9.306
1079,8.825
1080,9.621
1081,8.844
1082,8.862
1083,8.735
1084,9.098
1085,8.604
1086,8.684
1087,8.122
1088,8.575
1089,9.072
1090,8.462
1091,9.060
1092,9.089
1093,8.743
1094,9.880
1095,8.620
1096,8.726
1097,8.720
1098,8.872
1099,8.801
1100,8.552
1101,9.333
1102,8.722
1103,8.415
1104,9.611
1105,8.669
1106,8.435
1107,8.790
1108,9.531
1109,9.345
1110,8.840
1111,8.463
1112,8.473
1113,9.601
1114,8.912
1115,8.745
1116,8.770
1117,8.771
1118,8.761
1119,9.142
1120,8.667
1121,8.966
1122,9.167
1123,9.163
1124,8.932
1125,8.902
1126,8.502
1127,9.054
1128,9.917
1129,8.963
1130,9.380
1131,8.304
1132,9.304
1133,8.759
1134,8.673
1135,8.688
1136,8.897
